id,timestamp
1,48
7,28
8,36
10,36
11,54
12,37
13,40
15,8
16,30
17,29
18,36
20,37
21,12
22,10
23,43
24,39
25,37
26,11
28,72
29,31
30,34
32,13
33,33
34,34
36,22
38,12
39,21
40,40
41,33
42,9
44,64
45,33
46,36
47,40
48,36
49,33
50,9
51,34
52,30
53,33
54,11
55,35
56,81
57,9
58,10
59,35
60,29
61,64
62,53
63,34
64,40
65,74
66,23
67,38
68,12
69,76
70,32
71,57
72,37
73,66
74,9
75,33
76,34
78,40
79,38
80,33
81,14
82,36
83,41
84,30
85,33
86,37
87,17
88,11
90,27
91,33
92,34
93,36
94,9
95,70
97,12
98,37
99,25
100,83
102,34
103,39
104,38
105,34
106,36
107,33
108,33
109,51
110,42
111,11
113,33
114,38
115,11
116,12
117,31
118,36
119,39
120,33
121,12
122,39
123,33
124,54
125,44
127,38
128,32
129,35
130,33
131,34
132,33
133,49
134,35
135,15
136,55
137,24
138,9
139,36
140,15
141,37
143,10
144,33
145,34
146,54
147,42
148,12
149,58
150,9
151,63
152,33
153,13
154,33
155,10
157,17
158,37
159,33
161,51
162,10
163,11
164,42
165,65
166,41
167,11
168,74
169,40
170,26
171,74
172,64
174,14
175,73
176,33
177,57
178,75
179,29
180,21
181,73
183,34
184,16
186,79
187,75
189,10
190,10
191,33
192,33
194,31
195,40
196,37
197,8
198,12
199,63
200,34
201,37
202,36
203,14
204,28
205,9
206,41
207,10
209,33
210,56
211,36
213,9
214,18
215,36
217,33
218,39
219,33
220,11
221,37
222,64
223,13
224,9
225,33
226,12
227,33
228,33
229,16
230,11
231,38
232,33
233,27
234,33
235,16
236,39
238,10
239,33
240,36
241,13
242,58
243,9
244,15
245,34
246,42
247,34
248,37
249,52
250,17
251,39
252,25
253,33
254,35
255,40
256,38
257,26
258,11
259,11
260,39
261,57
262,12
263,41
264,33
265,53
266,17
267,38
268,9
269,36
270,39
271,38
272,16
273,46
275,55
276,30
277,34
279,13
280,43
281,107
282,11
283,13
284,9
285,12
286,26
287,59
288,47
289,51
291,36
292,36
293,12
294,39
295,32
296,8
298,30
299,72
300,34
301,52
302,41
303,33
304,35
305,33
306,11
307,38
308,15
309,37
310,39
311,38
312,33
313,29
314,38
315,35
316,9
317,14
318,14
319,33
320,58
321,11
322,34
323,33
324,30
325,33
326,26
328,19
329,44
330,68
331,38
332,33
333,11
336,38
338,20
341,37
342,36
343,42
344,33
345,43
346,40
347,36
348,45
349,34
350,12
351,33
352,24
353,32
354,34
355,66
356,9
357,71
358,34
360,38
361,56
362,33
363,38
364,12
365,33
366,26
367,38
368,36
370,33
