id,timestamp
8,29
10,38
17,30
18,30
24,12
25,9
28,24
29,14
36,11
41,30
46,29
50,12
51,28
53,27
54,26
55,26
56,12
57,14
58,36
59,31
60,15
61,27
62,27
63,51
64,31
65,15
67,31
68,35
69,27
70,30
71,23
72,39
73,26
74,14
75,29
76,30
77,31
78,32
80,30
82,27
83,28
84,30
85,11
86,30
88,26
89,26
90,15
91,30
92,30
94,49
95,27
96,48
97,11
100,33
101,31
102,29
103,30
104,30
105,29
106,28
107,31
108,29
109,10
111,31
112,31
116,27
117,9
118,28
123,29
125,32
127,31
128,26
129,10
130,16
131,11
134,34
135,14
136,104
140,80
141,18
143,123
150,82
163,64
164,20
171,11
173,35
180,35
181,30
182,40
213,36
216,39
217,36
219,35
223,69
234,52
235,40
236,40
237,31
238,26
239,13
240,27
241,11
244,29
247,34
248,14
250,17
252,41
254,61
265,12
271,34
292,12
294,11
298,40
299,11
302,35
304,35
311,14
312,9
325,14
329,34
330,18
332,40
335,34
336,44
345,12
347,35
358,11
363,35
365,35
368,17
369,14
370,35
372,35
374,41
377,47
386,15
389,46
395,16
403,40
405,41
408,35
409,35
415,34
416,34
433,13
434,15
435,36
438,12
439,34
442,11
443,64
444,13
446,38
447,34
453,36
458,13
461,16
468,35
469,29
471,31
473,38
474,10
477,39
479,35
481,34
482,13
486,34
488,61
489,36
491,34
493,48
494,35
500,44
501,35
507,34
508,26
510,54
514,35
516,41
517,50
521,39
522,35
525,35
527,40
529,38
530,15
532,14
533,11
535,12
536,42
537,13
541,14
544,35
545,34
548,35
549,38
551,42
553,38
555,38
557,37
560,10
561,41
563,36
568,35
573,16
575,36
578,12
580,35
581,42
591,49
596,35
598,41
599,35
601,38
604,34
607,41
608,39
609,38
612,35
618,75
619,12
620,61
622,77
623,32
624,13
628,16
630,61
631,74
632,73
636,43
637,19
638,18
640,66
643,12
646,38
648,12
649,35
650,38
652,41
654,40
655,34
656,59
657,14
660,39
661,34
662,39
664,40
666,37
673,61
674,39
675,35
679,35
683,35
684,10
686,33
693,37
694,12
695,40
698,35
710,34
714,12
716,33
719,75
722,51
723,117
725,11
728,106
729,66
730,68
731,26
734,64
736,58
737,64
739,64
741,11
742,63
743,12
744,58
745,11
746,57
747,12
750,52
759,42
760,12
761,65
762,64
763,67
764,64
774,30
777,59
779,27
780,58
789,58
791,14
795,58
796,59
803,31
804,60
805,64
806,28
813,28
823,12
824,59
830,65
831,12
838,12
839,66
849,14
854,52
859,12
860,59
864,11
865,64
868,13
869,19
870,13
871,12
876,58
877,62
878,51
883,11
889,58
896,37
897,67
899,59
900,65
903,64
905,64
911,12
913,61
915,63
918,64
919,29
925,64
926,67
929,61
930,57
935,58
940,35
943,64
944,80
945,35
946,59
947,34
948,58
950,63
953,13
956,33
957,28
961,59
962,66
964,59
966,27
970,38
971,17
972,28
973,30
979,59
980,69
982,48
983,34
984,35
987,59
990,61
991,39
993,14
994,59
998,13
1009,29
1010,27
1011,11
1012,64
1019,12
1020,59
1021,64
1035,12
1037,23
1040,68
1042,14
1046,58
1055,59
1058,59
1060,11
1067,12
1071,43
1073,59
1080,46
1083,64
1084,58
1095,27
1099,38
1100,38
1107,27
1118,14
1119,35
1122,34
1125,35
1128,41
1132,38
1140,10
1143,34
1146,43
1148,52
1149,42
1150,64
1151,35
1152,45
1154,34
1156,45
1157,17
1159,39
1160,39
1164,34
1165,83
1166,27
1169,40
1171,38
1180,25
1183,26
1185,35
1188,10
1189,77
1192,12
1194,14
1196,38
1199,39
1200,24
1201,39
1202,30
1203,38
1204,31
1205,41
1207,40
1208,35
1209,15
1213,42
1214,35
1215,75
1216,36
1219,33
1221,38
1222,32
1225,14
1226,39
1227,38
1229,38
1230,10
1231,16
1232,39
1233,38
1235,35
1237,55
1238,67
1239,15
1240,34
1241,34
1242,84
1243,14
1244,11
1245,10
1246,78
1247,46
1249,13
1250,39
1251,14
1252,10
1253,10
1254,41
1255,36
1256,51
1257,35
1260,38
1262,13
1263,26
1264,34
1265,14
1266,15
1267,34
1268,33
1269,10
1270,30
1272,23
1274,34
1275,12
1276,34
1277,42
1278,38
1279,68
1280,29
1281,41
1282,39
1284,34
1285,38
1286,13
1288,9
1289,38
1290,11
1291,42
1293,42
1294,49
1295,38
1296,52
1297,38
1298,41
1299,13
1300,34
1301,35
1304,101
1305,13
1306,17
1308,38
1309,34
1310,43
1311,39
1313,38
1314,10
1315,33
1316,35
1317,11
1318,41
1319,38
1320,37
1321,40
1322,13
1323,43
1324,34
1328,12
1330,41
1331,77
1332,22
1333,39
1334,34
1337,25
1338,56
1340,38
1341,32
1342,13
1344,39
1349,37
1351,34
1352,37
1353,17
1354,40
1355,10
1356,59
1357,36
1358,12
1361,11
1362,36
1363,36
1364,22
1365,40
1366,112
1367,11
1369,39
1370,27
1371,37
1372,38
1374,35
1375,20
1376,32
1377,40
1378,34
1379,37
1381,21
1383,27
1384,34
1386,29
1387,38
1389,38
1390,35
1391,13
1392,16
1393,40
1394,40
1395,31
1397,65
1398,34
1399,38
1400,40
1401,36
1402,9
1403,10
1404,45
1405,44
1406,39
1407,36
1408,39
1409,46
1410,45
1411,29
1412,36
1413,11
1414,34
1415,12
1416,41
1417,38
1418,26
1419,35
1420,40
